Id V1 V2 V3
1715 472 497 140 
1716 270 498 10 
1717 270 141 498 
1719 215 498 141 
1721 168 499 141 
1722 289 499 86 
1723 289 141 499 
1725 168 141 500 
1726 270 85 500 
1727 270 500 141 
1728 271 72 501 
1729 271 501 98 
1731 195 98 501 
1732 272 44 502 
1733 272 502 117 
1734 273 502 44 
1735 273 117 502 
1736 274 503 46 
1737 274 142 503 
1738 411 46 503 
1739 411 503 142 
1741 193 504 142 
1742 412 504 12 
1743 412 142 504 
1745 193 142 505 
1746 274 48 505 
1747 274 505 142 
1748 269 506 74 
1749 269 143 506 
1750 275 74 506 
1751 275 506 143 
1752 269 71 507 
1753 269 507 143 
1754 397 507 71 
1755 397 143 507 
1756 275 508 73 
1757 275 143 508 
1758 398 73 508 
1759 398 508 143 
1760 278 7 509 
1761 278 509 146 
1762 276 509 7 
1763 276 146 509 
1764 279 77 510 
1765 279 510 144 
1766 338 510 77 
1767 338 144 510 
1768 278 511 18 
1769 278 146 511 
1770 247 18 511 
1771 247 511 146 
1772 279 512 7 
1773 279 144 512 
1774 276 7 512 
1775 276 512 144 
1776 276 513 38 
1777 276 144 513 
1778 335 38 513 
1779 335 513 144 
1780 277 514 80 
1781 277 145 514 
1782 437 80 514 
1783 437 514 145 
1784 276 38 515 
1785 276 515 146 
1787 180 146 515 
1788 277 78 516 
1789 277 516 145 
1790 252 516 78 
1791 252 145 516 
1792 252 39 517 
1793 252 517 145 
1794 443 517 39 
1795 443 145 517 
1796 247 518 15 
1797 247 146 518 
1799 180 518 146 
1800 280 519 22 
1801 280 102 519 
1802 246 22 519 
1803 246 519 102 
1804 281 27 520 
1805 281 520 100 
1806 282 520 27 
1807 282 100 520 
1808 283 70 521 
1809 283 521 140 
1810 392 521 70 
1811 392 140 521 
1812 285 522 30 
1813 285 135 522 
1814 284 30 522 
1815 284 522 135 
1816 286 75 523 
1817 286 523 147 
1818 259 523 75 
1819 259 147 523 
1820 285 524 35 
1821 285 147 524 
1822 476 35 524 
1823 476 524 147 
1824 286 525 30 
1825 286 147 525 
1826 285 30 525 
1827 285 525 147 
1829 173 137 526 
1830 287 80 526 
1831 287 526 137 
1832 280 527 29 
1833 280 148 527 
1834 365 29 527 
1835 365 527 148 
1836 262 12 528 
1837 262 528 148 
1838 364 528 12 
1839 364 148 528 
1840 280 22 529 
1841 280 529 148 
1842 262 529 22 
1843 262 148 529 
1844 288 27 530 
1845 288 530 149 
1846 281 530 27 
1847 281 149 530 
1848 288 531 34 
1849 288 149 531 
1850 341 34 531 
1851 341 531 149 
1852 281 48 532 
